"","PrimaryKey","PlotKey","PlotID","State","SpeciesState","County","ProjectName","PhotoLink","EcologicalSiteId","EcolSiteName","Latitude_NAD83","Longitude_NAD83","DateEstablished","DateVisited","BareSoilCover","TotalFoliarCover","GapCover_25_50","GapCover_51_100","GapCover_101_200","GapCover_200_plus","GapCover_25_plus","SoilStability_All","SoilStability_Protected","SoilStability_Unprotected","AH_NonNoxPerenForbCover","AH_NonNoxAnnForbCover","AH_NonNoxPerenGrassCover","AH_NonNoxAnnGrassCover","AH_NonNoxPerenForbGrassCover","AH_NonNoxAnnForbGrassCover","AH_NonNoxShrubCover","AH_NonNoxSubShrubCover","AH_NonNoxSucculentCover","AH_NonNoxTreeCover","AH_NonNoxCover","AH_NoxPerenForbCover","AH_NoxAnnForbCover","AH_NoxPerenGrassCover","AH_NoxAnnGrassCover","AH_NoxPerenForbGrassCover","AH_NoxAnnForbGrassCover","AH_NoxShrubCover","AH_NoxSubShrubCover","AH_NoxSucculentCover","AH_NoxTreeCover","AH_NoxCover","AH_ForbCover","AH_PerenForbCover","AH_PreferredForbCover","AH_GrassCover","AH_PerenGrassCover","AH_AnnGrassCover","AH_TallPerenGrassCover","AH_ShortPerenGrassCover","AH_PerenForbGrassCover","AH_ShrubCover","AH_SagebrushCover","AH_SagebrushCover_Live","AH_NonSagebrushShrubCover","AH_TotalLitterCover","AH_WoodyLitterCover","AH_HerbLitterCover","FH_NonNoxPerenForbCover","FH_NonNoxAnnForbCover","FH_NonNoxPerenGrassCover","FH_NonNoxAnnGrassCover","FH_NonNoxShrubCover","FH_NonNoxSubShrubCover","FH_NonNoxSucculentCover","FH_NonNoxTreeCover","FH_NoxPerenForbCover","FH_NoxAnnForbCover","FH_NoxPerenGrassCover","FH_NoxAnnGrassCover","FH_NoxShrubCover","FH_NoxSubShrubCover","FH_NoxSucculentCover","FH_NoxTreeCover","FH_SagebrushCover","FH_TotalLitterCover","FH_WoodyLitterCover","FH_HerbLitterCover","FH_DuffCover","FH_EmbLitterCover","FH_VagrLichenCover","FH_LichenCover","FH_MossCover","FH_CyanobacteriaCover","FH_RockCover","FH_WaterCover","FH_DepSoilCover","Hgt_Woody_Avg","Hgt_Herbaceous_Avg","Hgt_Forb_Avg","Hgt_PerenForb_Avg","Hgt_Grass_Avg","Hgt_PerenGrass_Avg","Hgt_NoxPerenGrass_Avg","Hgt_NonNoxPerenGrass_Avg","Hgt_TallPerenGrass_Avg","Hgt_ShortPerenGrass_Avg","Hgt_PerenForbGrass_Avg","Hgt_Shrub_Avg","Hgt_NonSagebrushShrub_Avg","Hgt_Sagebrush_Avg","Hgt_Sagebrush_Live_Avg","SagebrushShape_All_ColumnCount","SagebrushShape_All_SpreadCount","SagebrushShape_All_Predominant","SagebrushShape_Live_ColumnCount","SagebrushShape_Live_SpreadCount","SagebrushShape_Live_Predominant","NumSpp_NoxPlant","Spp_Nox","NumSpp_NonNoxPlant","NumSpp_PreferredForb","Spp_Sagebrush","Spp_PreferredForb","Spp_TallPerenGrass","Spp_ShortPerenGrass","RH_Rills","RH_WaterFlowPatterns","RH_PedestalsTerracettes","RH_BareGround","RH_Gullies","RH_WindScouredAreas","RH_LitterMovement","RH_LitterAmount","RH_SoilSurfResisErosion","RH_SoilSurfLossDeg","RH_PlantCommunityComp","RH_Compaction","RH_FuncSructGroup","RH_DeadDyingPlantParts","RH_AnnualProd","RH_InvasivePlants","RH_ReprodCapabilityPeren","RH_BioticIntegrity","RH_HydrologicFunction","RH_SoilSiteStability","RH_CommentsBI","RH_CommentsHF","RH_CommentsSS","Purpose","PurposeFlag","Design","DesignFlag","created_user","created_date","last_edited_user","last_edited_date","DateLoadedInDb","DBKey","GlobalID","Shape"
"8786","1611141556434902016-09-01","161114155643490","Bottom-002","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/1611141556434902016-09-01","R042XB012NM",NA,32.0177,-107.09945,2016-11-06 17:00:00,2016-11-06 17:00:00,21.33333333,57.33333333,1.57333333,6.24,20.22666667,62.66666667,90.70666667,1.5,1.83333333,1.33333333,0.66666667,7.66666667,8.66666667,27,9.33333333,31,3,0.33333333,0,0,39,0,0,23,0,23,0,0,0,0,0,23,8.33333333,0.66666667,0,53.66666667,31.66666667,27,3.33333333,0.33333333,32,3,0,0,3,47.66666667,1.33333333,47,0.66666667,5,6.33333333,21,1.66666667,0.33333333,0,0,0,0,22.33333333,0,0,0,0,0,0,15.66666667,0.66666667,15,0,0,0,0,0,0,5.66666667,0,0,49,39.2,NA,NA,39.2,40.60714286,37.25,49,NA,NA,40.60714286,72,72,NA,NA,NA,NA,NA,NA,NA,NA,2,"ERLE; SATR12",33,0,NA,NA,"MUPO2","DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:32,"2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{2642E0E6-05C3-403E-9764-42EC65EC6047}",c(-107.09945, 32.0177)
"8787","16111616394616792016-09-01","1611161639461679","NR-FIRE-TRT","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16111616394616792016-09-01","R042XB035NM",NA,32.321095,-106.582244,2016-11-08 17:00:00,2016-11-08 17:00:00,0,91.33333333,9.82666667,20.30666667,13.65333333,4.48,48.26666667,4.45454545,4.25,5,2.66666667,4,79.66666667,1.33333333,80.66666667,5.33333333,6.33333333,3,0,7,91.33333333,0,2.66666667,0,0,0,2.66666667,0,0,0,0,2.66666667,9,2.66666667,0,80.66666667,79.66666667,1.33333333,38,0,80.66666667,6.33333333,0,0,6.33333333,53,1.66666667,52.33333333,2.66666667,2.33333333,71.66666667,1,4.66666667,2,0,7,0,0,0,0,0,0,0,0,0,4.66666667,0,4.66666667,0,0,0,0,0,0,4,0,0,173,81.33333333,82.5,110,81.25,81.25,NA,81.25,82.88235294,NA,82.24137931,49.5,49.5,NA,NA,NA,NA,NA,NA,NA,NA,1,"SATR12",34,0,NA,NA,"BOCU; SPAI; ELEL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fuels","Treatment Effectiveness","Targeted","Non-random targeted","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:32,"2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{36684684-774C-46C3-96E6-31CC191D4728}",c(-106.582244, 32.3210950000001)
"8788","16111616402732582016-09-01","1611161640273258","NR-FIRE-CTL","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16111616402732582016-09-01","R042XB035NM",NA,32.31033,-106.581646,2016-11-08 17:00:00,2016-11-08 17:00:00,0.33333333,86.33333333,13,12.13333333,6.81333333,14.52,46.46666667,4.55555556,4.5,4.66666667,0.66666667,5.66666667,78.66666667,0,79,5.66666667,1,8.66666667,0,0,86.33333333,0,0,0,0,0,0,0,0,0,0,0,6.33333333,0.66666667,0,78.66666667,78.66666667,0,35,0.33333333,79,1,0,0,1,72,1.33333333,71,0.33333333,3.66666667,77.33333333,0,1,4,0,0,0,0,0,0,0,0,0,0,0,8.66666667,0.33333333,8.33333333,0,0,0,0,0,0,4.66666667,0,0,22.75,69.8,41,NA,71.85714286,71.85714286,NA,71.85714286,75.0625,NA,71.85714286,35,35,NA,NA,NA,NA,NA,NA,NA,NA,1,"ERLE",31,0,NA,NA,"BOCU","BOGR2; DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fuels","Treatment Effectiveness","Targeted","Non-random targeted","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:32,"2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{E0C82EE6-33D4-43B4-9B04-6E0FE1B0389B}",c(-106.581646, 32.3103300000001)
"8789","16102714453525922016-09-01","1610271445352592","Sandy-463","NM","NM","Luna","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16102714453525922016-09-01","R042XB011NM",NA,31.9008,-107.3391,2016-10-24 18:00:00,2016-10-24 18:00:00,38.66666667,37.66666667,2.93333333,7.82666667,11.41333333,65.10666667,87.28,1.88888889,4.33333333,1.4,0.66666667,12.66666667,3.33333333,7.33333333,4,19,10,7.33333333,0,0,37.66666667,0,0,0,0,0,0,0,0,0,0,0,13,0.66666667,0,10.66666667,3.33333333,7.33333333,0,0,4,10,0,0,10,47.66666667,5.66666667,44.33333333,0.66666667,11.66666667,2.66666667,6.33333333,10,6.33333333,0,0,0,0,0,0,0,0,0,0,0,23.66666667,2.33333333,21.33333333,0,0,0,0,0,0,0,0,0,85.42857143,24.07407407,20.43478261,44,45,45,NA,45,NA,NA,44.8,101.6,101.6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,24,0,NA,NA,"MUPO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:34,"2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{87A3239F-8D55-4D3E-A91D-662CDD12631A}",c(-107.3391, 31.9008000000001)
"8792","16081110402163562016-09-01","1608111040216356","Gsand-144","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16081110402163562016-09-01","R042XB024NM",NA,32.427767,-106.798867,2016-08-10 18:00:00,2016-08-10 18:00:00,5,31,2.09333333,10.08,17.72,55.84,85.73333333,2.33333333,2.66666667,2.26666667,4.66666667,0,0,0,4.66666667,0,26,2.33333333,1.33333333,0,31,0,0,0,0,0,0,0,0,0,0,0,4.66666667,4.66666667,0,0,0,0,0,0,4.66666667,26,0,0,26,18,1.33333333,16.66666667,2.33333333,0,0,0,26,2,0.66666667,0,0,0,0,0,0,0,0,0,0,6.33333333,1,5.33333333,0,0,0,0,0,0,57.66666667,0,0,63.75,23.77777778,23.77777778,23.77777778,NA,NA,NA,NA,NA,NA,23.77777778,67.61111111,67.61111111,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,19,0,NA,NA,NA,"DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:34,"2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{63D59373-B582-4C2C-9D3A-542AAE8615CA}",c(-106.798867, 32.4277670000001)
"8793","16081114554791692016-09-01","1608111455479169","Hills-188","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16081114554791692016-09-01","R042XB010NM",NA,32.424304,-106.786187,2016-08-10 18:00:00,2016-08-10 18:00:00,8,26.33333333,3.61333333,10.06666667,20.29333333,51.64,85.61333333,2.33333333,2,2.375,3.33333333,0.33333333,2.66666667,0,5.66666667,0.33333333,20.66666667,1.66666667,0,0,26.33333333,0,0,0,0,0,0,0,0,0,0,0,3.66666667,3.33333333,0,2.66666667,2.66666667,0,1,1.66666667,5.66666667,20.66666667,0,0,20.66666667,22.66666667,2,21,2.33333333,0.33333333,2.33333333,0,20.66666667,0.66666667,0,0,0,0,0,0,0,0,0,0,0,13.33333333,1.66666667,11.66666667,0,0,0,0,0,0,52.33333333,0,0,44.33333333,15.25,14.85714286,15.16666667,15.8,15.8,NA,15.8,27.5,8,15.45454545,47.0625,47.0625,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,23,0,NA,NA,"MUPO2","DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:34,"2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{8B5DA495-501E-4CF0-AEEE-6ECAB7688D7D}",c(-106.786187, 32.4243040000001)
"8794","16090712373970722016-09-01","1609071237397072","Mal-376","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16090712373970722016-09-01","R042XB037NM",NA,32.1122,-107.2002,2016-08-31 18:00:00,2016-08-31 18:00:00,56,16,1.06666667,8.49333333,9.12,76.2,94.88,2.61111111,2,2.6875,2,12.66666667,0,2,2,14.33333333,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,14.33333333,2,0,2,0,2,0,0,2,0,0,0,0,27,0.33333333,26.66666667,1.66666667,12.66666667,0,1.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,22.66666667,0.33333333,22.33333333,0,0,0,0,0,0,5.33333333,0,0,NA,17.13793103,19.16,10.6,4.5,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:34,"2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{E8F53E28-FD33-4CA9-BD7D-99A60DA7B440}",c(-107.2002, 32.1122)
"8795","16101214200883052016-09-01","1610121420088305","Loam-331","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16101214200883052016-09-01","R042XB023NM",NA,32.4472,-107.1563,2016-10-11 18:00:00,2016-10-11 18:00:00,26,65.33333333,4.58666667,7.2,6.49333333,22.30666667,40.58666667,3.55555556,4.30769231,1.6,0.33333333,0.33333333,55.66666667,2,56,2.33333333,17.33333333,0,1,0,65.33333333,0,0,0,0,0,0,0,0,0,0,0,0.66666667,0.33333333,0,56.66666667,55.66666667,2,8.66666667,0,56,17.33333333,0,0,17.33333333,51.66666667,5,49.33333333,0.33333333,0,46.66666667,1,16.33333333,0,1,0,0,0,0,0,0,0,0,0,0,7.33333333,1.66666667,5.66666667,0,0,0,0,0,0,1.33333333,0,0,81.83333333,55.5,NA,NA,55.5,55.5,NA,55.5,50,NA,55.5,81.83333333,81.83333333,NA,NA,NA,NA,NA,NA,NA,NA,1,"SATR12",32,0,NA,NA,"MUPO2","DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:34,"2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{45061122-9E59-48C3-B3BF-2579695E70E6}",c(-107.1563, 32.4472000000001)
"8796","16101308525035072016-09-01","1610130852503507","Gravel-044","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16101308525035072016-09-01","R042XB010NM",NA,32.239095,-106.618527,2016-10-12 18:00:00,2016-10-12 18:00:00,9,51.66666667,4.05333333,8.42666667,21.53333333,34.42666667,68.44,4.33333333,4.8,3.75,0,23.33333333,0,5,0,27.66666667,32.33333333,0,0.66666667,0,51.66666667,0,0,0,0,0,0,0,0,0,0,0,23.33333333,0,0,5,0,5,0,0,0,32.33333333,0,0,32.33333333,37.33333333,9,30.66666667,0,15.66666667,0,4.33333333,31,0,0.66666667,0,0,0,0,0,0,0,0,0,0,11.33333333,4.33333333,7,0,0,0,0,0,0,28,0,0,68.16666667,19.75862069,19.875,NA,19.2,44,NA,44,44,NA,44,68.16666667,68.16666667,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,36,0,NA,NA,"MUPO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:34,"2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{522A7553-CF48-435F-B91F-55DCEE517354}",c(-106.618527, 32.2390950000001)
"8797","16100310170018152016-09-01","1610031017001815","Sandy-470","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16100310170018152016-09-01","R042XB012NM",NA,31.835274,-107.023994,2016-10-02 18:00:00,2016-10-02 18:00:00,68.66666667,18,1.62666667,2.26666667,3.16,82.69333333,89.74666667,1,1,1,0,0,0,0,0,0,14,2.66666667,1.66666667,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,22,2.66666667,19.66666667,0,0,0,0,14,2.33333333,1.66666667,0,0,0,0,0,0,0,0,0,0,11,2,9,0,0,0,0,0,0,2.33333333,0,0,79.7,22,NA,NA,22,22,NA,22,NA,NA,22,101.6,101.6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,9,0,NA,NA,NA,"DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING",2020-04-06 14:10:51,"ILMOCAIMDBO",2022-01-13 12:28:34,"2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{36C0473E-860E-4DE4-A9F1-2C9A2AE5BDFC}",c(-107.023994, 31.835274)
