"","PrimaryKey","horizontal_flux_total_LPI","horizontal_flux_total_UPI","horizontal_flux_total_MD","horizontal_flux_total_MN","horizontal_flux_total_STD","vertical_flux_LPI","vertical_flux_UPI","vertical_flux_MD","vertical_flux_MN","vertical_flux_STD","PM1_LPI","PM1_UPI","PM1_MD","PM1_MN","PM1_STD","PM2_5_LPI","PM2_5_UPI","PM2_5_MD","PM2_5_MN","PM2_5_STD","PM10_LPI","PM10_UPI","PM10_MD","PM10_MN","PM10_STD"
"67","1000000302018-09-01",3.858706588,15.32935659,8.137042359,8.678669951,3.625097876,3.58e-05,0.000776036,0.000166572,0.000266402,0.000277742,2.05e-08,4.64e-07,9.74e-08,1.66e-07,2.05e-07,4.61e-07,1e-05,2.15e-06,3.46e-06,3.68e-06,1.21e-05,0.000262451,5.63e-05,9.01e-05,9.4e-05
"69","1000000772018-09-01",0.504297648,2.178405207,0.976923917,1.102825869,0.549725274,8.96e-08,2.71e-05,8.12e-07,5.49e-06,1.42e-05,5.19e-11,1.54e-08,4.61e-10,3.15e-09,8.09e-09,1.16e-09,3.49e-07,1.05e-08,7.07e-08,1.82e-07,3.03e-08,9.17e-06,2.75e-07,1.86e-06,4.79e-06
"70","1000000962018-09-01",0.072968515,2.591665005,0.459808638,0.791564463,0.858818424,7.82e-09,5.57e-05,5.76e-07,1.05e-05,2.81e-05,4.37e-12,3.18e-08,3.25e-10,5.95e-09,1.6e-08,1e-10,7.17e-07,7.41e-09,1.35e-07,3.61e-07,2.64e-09,1.88e-05,1.95e-07,3.55e-06,9.49e-06
"71","1000001012018-09-01",1.248448242,5.078228137,2.410567143,2.69683488,1.23870258,6.17e-07,4.5e-05,4.98e-06,1.2e-05,2.07e-05,9.51e-08,6.94e-06,7.67e-07,1.84e-06,3.2e-06,1.84e-07,1.35e-05,1.49e-06,3.58e-06,6.2e-06,4.32e-07,3.15e-05,3.49e-06,8.38e-06,1.45e-05
"160","2011355010501P1",0.027479184,0.842125514,0.184610347,0.274664602,0.248896273,2.75e-08,9.71e-05,2.27e-06,1.83e-05,3.98e-05,4.88e-09,1.73e-05,4.04e-07,3.26e-06,7.07e-06,8.52e-09,3.01e-05,7.04e-07,5.69e-06,1.23e-05,1.93e-08,6.83e-05,1.6e-06,1.29e-05,2.8e-05
"161","2011355010501P2",1.40936161,8.480474193,3.492728754,3.887057013,2.069207304,4.85e-06,0.001108983,6.26e-05,0.00024814,0.000444936,8.63e-07,0.00019711,1.11e-05,4.41e-05,7.91e-05,1.5e-06,0.000343733,1.94e-05,7.69e-05,0.000137914,3.41e-06,0.000779946,4.4e-05,0.000174517,0.000312927
"165","2011355120601P2",0.768462838,3.287563831,1.472797458,1.637038412,0.717593983,8.06e-07,0.000187527,6.1e-06,3.32e-05,7.39e-05,1.43e-07,3.33e-05,1.08e-06,5.9e-06,1.31e-05,2.5e-07,5.81e-05,1.89e-06,1.03e-05,2.29e-05,5.67e-07,0.000131886,4.29e-06,2.33e-05,5.19e-05
"528","2012355010501R3",0.078749058,4.820074058,0.899165508,1.493376706,1.639742503,2.1e-08,0.000361671,5.09e-06,6.63e-05,0.00017292,3.73e-09,6.43e-05,9.05e-07,1.18e-05,3.07e-05,6.51e-09,0.0001121,1.58e-06,2.05e-05,5.36e-05,1.48e-08,0.000254362,3.58e-06,4.66e-05,0.000121611
"530","2012355140703O1",0.120201614,1.608222708,0.47644487,0.604571749,0.461375366,7.16e-08,7.34e-05,2.13e-06,1.45e-05,3.27e-05,1.27e-08,1.31e-05,3.79e-07,2.57e-06,5.81e-06,2.22e-08,2.28e-05,6.6e-07,4.48e-06,1.01e-05,5.03e-08,5.16e-05,1.5e-06,1.02e-05,2.3e-05
"531","2012355140703O2",1.037869292,6.927602699,2.631473239,3.049814042,1.733099487,1.43e-06,0.000449683,1.96e-05,9.25e-05,0.000184794,2.55e-07,7.99e-05,3.48e-06,1.64e-05,3.28e-05,4.44e-07,0.000139374,6.07e-06,2.87e-05,5.73e-05,1.01e-06,0.000316255,1.38e-05,6.5e-05,0.000129964
"1011","2014355200803B1",0.621306041,4.3256927,1.543262974,1.843640233,1.10460042,1.14e-06,0.000413589,1.72e-05,8.72e-05,0.000172101,2.02e-07,7.35e-05,3.06e-06,1.55e-05,3.06e-05,3.53e-07,0.000128198,5.34e-06,2.7e-05,5.33e-05,8.01e-07,0.000290881,1.21e-05,6.14e-05,0.000121038
"1012","2014355200803B2",0.220749007,3.35645735,0.93065102,1.199148153,0.947974615,2.53e-07,0.000297929,8.52e-06,5.8e-05,0.000123394,4.49e-08,5.3e-05,1.51e-06,1.03e-05,2.19e-05,7.84e-08,9.23e-05,2.64e-06,1.8e-05,3.82e-05,1.78e-07,0.000209528,5.99e-06,4.08e-05,8.68e-05
"1013","2014355200907B1",0.308386691,3.573808192,1.20254347,1.442563515,0.99450276,5.69e-07,0.000357063,1.51e-05,7.28e-05,0.000141963,1.01e-07,6.35e-05,2.68e-06,1.29e-05,2.52e-05,1.76e-07,0.000110689,4.68e-06,2.26e-05,4.4e-05,4e-07,0.000251137,1.06e-05,5.12e-05,9.98e-05
"1014","2014355200907B2",0.658906681,11.92777876,2.783885646,4.074384108,3.5727371,5.76e-07,0.001186689,2.72e-05,0.000225974,0.000506693,1.02e-07,0.000210918,4.84e-06,4.02e-05,9.01e-05,1.79e-07,0.000367797,8.44e-06,7e-05,0.000157044,4.05e-07,0.000834576,1.91e-05,0.000158923,0.00035635
"1593","2015355200808B1",0.005672386,0.123481174,0.028684918,0.042931661,0.044025058,3.58e-10,1.08e-06,1.63e-08,2.78e-07,1.03e-06,3.77e-11,1.13e-07,1.72e-09,2.93e-08,1.08e-07,8.05e-11,2.42e-07,3.67e-09,6.26e-08,2.31e-07,1.93e-10,5.82e-07,8.82e-09,1.5e-07,5.56e-07
"1594","2015355200808B2",9.19e-14,0.001198053,1e-07,0.000266141,0.001084315,2.24e-30,5.3e-10,3.57e-18,7.37e-10,6.64e-09,2.36e-31,5.59e-11,3.76e-19,7.77e-11,7.01e-10,5.04e-31,1.19e-10,8.02e-19,1.66e-10,1.5e-09,1.21e-30,2.86e-10,1.93e-18,3.98e-10,3.59e-09
"2137","2016355200813B1",0.520808154,5.10156802,1.747244119,2.118906644,1.391557038,4.64e-07,0.000231011,1.06e-05,4.47e-05,8.49e-05,1.08e-09,5.5e-07,2.48e-08,1.06e-07,2.05e-07,1.6e-08,7.97e-06,3.65e-07,1.54e-06,2.94e-06,2.02e-07,0.000100715,4.63e-06,1.95e-05,3.7e-05
"2138","2016355200813B2",0.395764431,2.899647992,1.146476671,1.313963621,0.761894951,2.37e-07,8.26e-05,3.94e-06,1.54e-05,2.88e-05,5.52e-10,1.96e-07,9.23e-09,3.67e-08,6.94e-08,8.16e-09,2.85e-06,1.36e-07,5.31e-07,9.95e-07,1.03e-07,3.6e-05,1.72e-06,6.71e-06,1.25e-05
"2139","2016355200920B1",0.175164375,2.431263079,0.680756757,0.92484167,0.762111331,3.11e-07,0.000338951,9.39e-06,6.84e-05,0.000146189,3.28e-08,3.58e-05,9.9e-07,7.22e-06,1.54e-05,7e-08,7.63e-05,2.11e-06,1.54e-05,3.29e-05,1.68e-07,0.000183213,5.07e-06,3.7e-05,7.9e-05
"2140","2016355200920B2",0.209197518,5.056967454,1.126976391,1.676595172,1.502373534,2.29e-07,0.000719679,1.67e-05,0.000132432,0.000280643,4.07e-08,0.000127913,2.98e-06,2.35e-05,4.99e-05,7.09e-08,0.000223053,5.19e-06,4.1e-05,8.7e-05,1.61e-07,0.000506135,1.18e-05,9.31e-05,0.000197374
"2771","2017355200801B1",0.035606173,2.494044702,0.43074321,0.737233251,0.773962028,1.73e-08,0.000297864,4.57e-06,5.27e-05,0.000120708,3.08e-09,5.29e-05,8.11e-07,9.37e-06,2.15e-05,5.37e-09,9.23e-05,1.41e-06,1.63e-05,3.74e-05,1.22e-08,0.000209482,3.21e-06,3.71e-05,8.49e-05
"2772","2017355200801B2",0.087808735,1.178313427,0.357111372,0.453798013,0.336395504,2.26e-07,0.000193476,7.04e-06,3.75e-05,7.25e-05,4.02e-08,3.44e-05,1.25e-06,6.67e-06,1.29e-05,7e-08,6e-05,2.18e-06,1.16e-05,2.25e-05,1.59e-07,0.000136073,4.95e-06,2.64e-05,5.1e-05
"3240","2018355200802B2",9.063607997,30.79633852,16.59411765,18.2183113,7.158523193,0.000167631,0.004961082,0.000880916,0.001623435,0.002255443,2.98e-05,0.000881813,0.000156572,0.000288566,0.000400961,5.2e-05,0.001537908,0.000273034,0.000503294,0.000699566,0.00011789,0.003489314,0.000619538,0.001141859,0.00158671
"3241","2018355200802B3",4.005111049,13.51364935,7.228485019,7.961578699,3.081644039,6.26e-05,0.00245203,0.000394591,0.000748272,0.001077668,1.11e-05,0.00043585,7.01e-05,0.000133004,0.000191578,1.94e-05,0.000760181,0.000122293,0.000231971,0.000334229,4.41e-05,0.001724666,0.000277504,0.000526298,0.000758115
"3244","2018355201805B1",0.179371804,2.457531027,0.709045279,0.914488757,0.695974309,2.05e-07,0.00021595,6.8e-06,3.95e-05,8.12e-05,3.64e-08,3.84e-05,1.21e-06,7.02e-06,1.44e-05,6.34e-08,6.69e-05,2.11e-06,1.22e-05,2.52e-05,1.44e-07,0.000151882,4.78e-06,2.78e-05,5.71e-05
"3245","2018355201805B2",3.575771233,20.45695612,8.675454649,9.759108878,5.098213474,1.12e-05,0.002225291,0.000141591,0.000487537,0.000883478,2e-06,0.000395522,2.52e-05,8.67e-05,0.000157032,3.48e-06,0.000689736,4.39e-05,0.000151115,0.000273859,7.91e-06,0.001565042,9.96e-05,0.000342885,0.000621369
"3813","20113513020201R1",23.24183364,75.16722911,42.3687529,45.54997033,17.16204531,0.000271229,0.011135049,0.001851373,0.00348218,0.004851746,4.82e-05,0.001979155,0.000329053,0.000618949,0.000862473,8.41e-05,0.003451455,0.000573786,0.001079474,0.001504586,0.000190747,0.007831362,0.001302016,0.002449152,0.00341296
"3814","20113513020201R2",6.423200756,26.50172965,13.57497285,14.5232448,6.161505442,2.68e-05,0.002212643,0.000244046,0.000532963,0.000803488,4.76e-06,0.00039329,4.34e-05,9.47e-05,0.000142823,8.3e-06,0.000685915,7.56e-05,0.000165211,0.000249118,1.88e-05,0.001556242,0.000171636,0.000374846,0.00056516
"3815","20113513030101O1",12.45405398,45.45714443,24.26918433,25.69070224,10.13912992,3.56e-05,0.002482014,0.000286562,0.000616227,0.000941886,2.02e-08,1.58e-06,1.64e-07,3.68e-07,5.89e-07,4.58e-07,3.27e-05,3.69e-06,7.97e-06,1.23e-05,1.21e-05,0.000839922,9.69e-05,0.000208408,0.000318605
"3816","20113513030101O2",1.552605252,7.840397165,3.700727472,4.002651123,1.923112924,4.43e-06,0.000729009,5.14e-05,0.0001468,0.000250782,7.87e-07,0.000129572,9.14e-06,2.61e-05,4.46e-05,1.37e-06,0.000225949,1.59e-05,4.55e-05,7.77e-05,3.12e-06,0.000512701,3.62e-05,0.000103246,0.000176385
