"EcologicalSiteId","Phase","PrimaryKey","PlotKey","PlotID","State","SpeciesState","County","ProjectName","PhotoLink","EcolSiteName","Latitude_NAD83","Longitude_NAD83","DateEstablished","DateVisited","BareSoilCover.x","TotalFoliarCover.x","GapCover_25_50","GapCover_51_100","GapCover_101_200.x","GapCover_200_plus.x","GapCover_25_plus","SoilStability_All","SoilStability_Protected","SoilStability_Unprotected","AH_NonNoxPerenForbCover","AH_NonNoxAnnForbCover","AH_NonNoxPerenGrassCover","AH_NonNoxAnnGrassCover","AH_NonNoxPerenForbGrassCover","AH_NonNoxAnnForbGrassCover","AH_NonNoxShrubCover","AH_NonNoxSubShrubCover","AH_NonNoxSucculentCover","AH_NonNoxTreeCover","AH_NonNoxCover","AH_NoxPerenForbCover","AH_NoxAnnForbCover","AH_NoxPerenGrassCover","AH_NoxAnnGrassCover","AH_NoxPerenForbGrassCover","AH_NoxAnnForbGrassCover","AH_NoxShrubCover","AH_NoxSubShrubCover","AH_NoxSucculentCover","AH_NoxTreeCover","AH_NoxCover","AH_ForbCover","AH_PerenForbCover","AH_PreferredForbCover","AH_GrassCover","AH_PerenGrassCover","AH_AnnGrassCover","AH_TallPerenGrassCover","AH_ShortPerenGrassCover","AH_PerenForbGrassCover","AH_ShrubCover","AH_SagebrushCover","AH_SagebrushCover_Live","AH_NonSagebrushShrubCover","AH_TotalLitterCover","AH_WoodyLitterCover","AH_HerbLitterCover","FH_NonNoxPerenForbCover","FH_NonNoxAnnForbCover","FH_NonNoxPerenGrassCover","FH_NonNoxAnnGrassCover","FH_NonNoxShrubCover","FH_NonNoxSubShrubCover","FH_NonNoxSucculentCover","FH_NonNoxTreeCover","FH_NoxPerenForbCover","FH_NoxAnnForbCover","FH_NoxPerenGrassCover","FH_NoxAnnGrassCover","FH_NoxShrubCover","FH_NoxSubShrubCover","FH_NoxSucculentCover","FH_NoxTreeCover","FH_SagebrushCover","FH_TotalLitterCover","FH_WoodyLitterCover","FH_HerbLitterCover","FH_DuffCover","FH_EmbLitterCover","FH_VagrLichenCover","FH_LichenCover","FH_MossCover","FH_CyanobacteriaCover","FH_RockCover","FH_WaterCover","FH_DepSoilCover","Hgt_Woody_Avg","Hgt_Herbaceous_Avg","Hgt_Forb_Avg","Hgt_PerenForb_Avg","Hgt_Grass_Avg","Hgt_PerenGrass_Avg","Hgt_NoxPerenGrass_Avg","Hgt_NonNoxPerenGrass_Avg","Hgt_TallPerenGrass_Avg","Hgt_ShortPerenGrass_Avg","Hgt_PerenForbGrass_Avg","Hgt_Shrub_Avg","Hgt_NonSagebrushShrub_Avg","Hgt_Sagebrush_Avg","Hgt_Sagebrush_Live_Avg","SagebrushShape_All_ColumnCount","SagebrushShape_All_SpreadCount","SagebrushShape_All_Predominant","SagebrushShape_Live_ColumnCount","SagebrushShape_Live_SpreadCount","SagebrushShape_Live_Predominant","NumSpp_NoxPlant","Spp_Nox","NumSpp_NonNoxPlant","NumSpp_PreferredForb","Spp_Sagebrush","Spp_PreferredForb","Spp_TallPerenGrass","Spp_ShortPerenGrass","RH_Rills","RH_WaterFlowPatterns","RH_PedestalsTerracettes","RH_BareGround","RH_Gullies","RH_WindScouredAreas","RH_LitterMovement","RH_LitterAmount","RH_SoilSurfResisErosion","RH_SoilSurfLossDeg","RH_PlantCommunityComp","RH_Compaction","RH_FuncSructGroup","RH_DeadDyingPlantParts","RH_AnnualProd","RH_InvasivePlants","RH_ReprodCapabilityPeren","RH_BioticIntegrity","RH_HydrologicFunction","RH_SoilSiteStability","RH_CommentsBI","RH_CommentsHF","RH_CommentsSS","Purpose","PurposeFlag","Design","DesignFlag","created_user","created_date","last_edited_user","last_edited_date","DateLoadedInDb","DBKey","GlobalID","Shape","Shape2","Likelihood.Final.Phase","X.x","horizontal_flux_total_LPI","horizontal_flux_total_UPI","horizontal_flux_total_MD","horizontal_flux_total_MN","horizontal_flux_total_STD","vertical_flux_LPI","vertical_flux_UPI","vertical_flux_MD","vertical_flux_MN","vertical_flux_STD","PM1_LPI","PM1_UPI","PM1_MD","PM1_MN","PM1_STD","PM2_5_LPI","PM2_5_UPI","PM2_5_MD","PM2_5_MN","PM2_5_STD","PM10_LPI","PM10_UPI","PM10_MD","PM10_MN","PM10_STD","X.y","GapCover_101_200.y","GapCover_200_plus.y","BareSoilCover.y","TotalFoliarCover.y","MeanGap","MeanMaxHeight","ScaledGap","MeanGap_1m","ScaledGap_1m","GapCover_100_plus"
"R042XB012NM","5","1611141556434902016-09-01","161114155643490","Bottom-002","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/1611141556434902016-09-01",NA,32.0177,-107.09945,"2016-11-06 17:00:00","2016-11-06 17:00:00",21.33333333,57.33333333,1.57333333,6.24,20.22666667,62.66666667,90.70666667,1.5,1.83333333,1.33333333,0.66666667,7.66666667,8.66666667,27,9.33333333,31,3,0.33333333,0,0,39,0,0,23,0,23,0,0,0,0,0,23,8.33333333,0.66666667,0,53.66666667,31.66666667,27,3.33333333,0.33333333,32,3,0,0,3,47.66666667,1.33333333,47,0.66666667,5,6.33333333,21,1.66666667,0.33333333,0,0,0,0,22.33333333,0,0,0,0,0,0,15.66666667,0.66666667,15,0,0,0,0,0,0,5.66666667,0,0,49,39.2,NA,NA,39.2,40.60714286,37.25,49,NA,NA,40.60714286,72,72,NA,NA,NA,NA,NA,NA,NA,NA,2,"ERLE; SATR12",33,0,NA,NA,"MUPO2","DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING","2020-04-06 14:10:51","ILMOCAIMDBO","2022-01-13 12:28:32","2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{2642E0E6-05C3-403E-9764-42EC65EC6047}","c(-107.09945"," 32.0177)",0.75,12995,1.964121739,9.385482745,4.447939122,4.86025065,2.359035119,7.12e-06,0.000860081,7.82e-05,0.000197738,0.00033398,1.27e-06,0.00015287,1.39e-05,3.51e-05,5.94e-05,2.21e-06,0.000266581,2.42e-05,6.13e-05,0.000103543,5.01e-06,0.00060489,5.5e-05,0.000139072,0.000234911,56,20.2266666666667,62.6666666666667,21.3333333333333,57.3333333333333,200.088235294118,40.0333333333333,4.99804084831268,252.68,6.31174021648626,82.8933333333334
"R042XB012NM","3.2","16100310170018152016-09-01","1610031017001815","Sandy-470","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16100310170018152016-09-01",NA,31.835274,-107.023994,"2016-10-02 18:00:00","2016-10-02 18:00:00",68.66666667,18,1.62666667,2.26666667,3.16,82.69333333,89.74666667,1,1,1,0,0,0,0,0,0,14,2.66666667,1.66666667,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,22,2.66666667,19.66666667,0,0,0,0,14,2.33333333,1.66666667,0,0,0,0,0,0,0,0,0,0,11,2,9,0,0,0,0,0,0,2.33333333,0,0,79.7,22,NA,NA,22,22,NA,22,NA,NA,22,101.6,101.6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,9,0,NA,NA,NA,"DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING","2020-04-06 14:10:51","ILMOCAIMDBO","2022-01-13 12:28:34","2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{36C0473E-860E-4DE4-A9F1-2C9A2AE5BDFC}","c(-107.023994"," 31.835274)",1,19502,3.436348594,10.88363404,6.138076238,6.512227998,2.33893957,2.72e-06,0.000106001,1.6e-05,3.13e-05,4.6e-05,4.19e-07,1.63e-05,2.47e-06,4.83e-06,7.1e-06,8.13e-07,3.17e-05,4.79e-06,9.36e-06,1.38e-05,1.9e-06,7.43e-05,1.12e-05,2.19e-05,3.22e-05,31,3.16,82.6933333333333,68.6666666666667,18,398.705882352941,79.7,5.00258321647354,715.444444444444,8.97671824898926,85.8533333333333
"R042XB012NM","3.2","16081712471161842016-09-01","1608171247116184","Sandy-468","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16081712471161842016-09-01",NA,32.027543,-106.944136,"2016-08-16 18:00:00","2016-08-16 18:00:00",38.33333333,12,0.66666667,0,8.73333333,86.06666667,95.46666667,2.72222222,4,2.46666667,0,0.66666667,5,0,5,0.66666667,1.33333333,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0.66666667,0,0,5,5,0,1.66666667,0.66666667,5,1.33333333,0,0,1.33333333,39.66666667,0.66666667,39.33333333,0,0.66666667,4.33333333,0,1.33333333,5.66666667,0,0,0,0,0,0,0,0,0,0,0,31.66666667,0.66666667,31,0,0,0,0,0,0,18,0,0,11.57142857,11.63636364,11,NA,11.77777778,11.77777778,NA,11.77777778,11.75,5.2,11.77777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,32,0,NA,NA,"MUPO2","DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING","2020-04-06 14:10:51","ILMOCAIMDBO","2022-01-13 12:28:34","2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{60F1A65C-6970-4663-A49F-68BF79FE89B2}","c(-106.944136"," 32.027543)",0.666666667,18818,53.12577741,210.018126,111.6778542,119.0488134,49.4189115,0.002245915,0.044703466,0.009889797,0.015912413,0.016837009,0.000399183,0.007946204,0.001757837,0.002828502,0.002993478,0.000696103,0.013859858,0.003065563,0.004933531,0.005223998,0.001579523,0.031443551,0.006955656,0.011192541,0.011846497,16,8.73333333333333,86.0666666666667,38.3333333333333,12,398.888888888889,11.84,33.6899399399399,444.375,37.5316722972973,94.8
"R042XB012NM","4.1","16082509252268562016-09-01","1608250925226856","Sandy-466","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16082509252268562016-09-01",NA,31.949524,-106.886231,"2016-08-24 18:00:00","2016-08-24 18:00:00",51,29.33333333,0,10.64,11.34666667,58.42666667,80.41333333,1.16666667,1.42857143,1,1,0.33333333,2,0,3,0.33333333,21.33333333,1.33333333,0,0,23.66666667,0,0,13,0,13,0,0,0,0,0,13,1.33333333,1,0,15,15,0,2,0,16,21.33333333,0,0,21.33333333,41,2.66666667,39,1,0.33333333,0,0,20.33333333,1,0,0,0,0,6.66666667,0,0,0,0,0,0,19.66666667,2,17.66666667,0,0,0,0,0,0,0,0,0,64.875,33.78571429,19.5,18,36.16666667,36.16666667,38.18181818,14,14,NA,34.76923077,70.92857143,70.92857143,NA,NA,NA,NA,NA,NA,NA,NA,1,"ERLE",19,0,NA,NA,"MUPO2","DAPU7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING","2020-04-06 14:10:51","ILMOCAIMDBO","2022-01-13 12:28:34","2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{B83FBE39-30A2-4537-831B-07A5614FCB79}","c(-106.886231"," 31.9495240000001)",1,19002,2.440499444,23.60298368,8.431552182,9.96517853,6.302191547,2.11e-06,0.001048667,5.09e-05,0.000193022,0.000347031,3.17e-07,0.000157068,7.63e-06,2.89e-05,5.2e-05,6.12e-07,0.000303852,1.48e-05,5.59e-05,0.000100549,1.48e-06,0.000734899,3.57e-05,0.000135265,0.000243193,19,11.3466666666667,58.4266666666667,51,29.3333333333333,194.548387096774,61.7,3.15313431275161,275.421052631579,4.46387443487162,69.7733333333334
"R042XB015NM","3.2","16112309202346402016-09-01","1611230920234640","Mal-377","NM","NM","Luna","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16112309202346402016-09-01",NA,32.0112,-107.341,"2016-11-16 17:00:00","2016-11-16 17:00:00",29.66666667,40,0.88,5.02666667,9.49333333,74.56,89.96,3.38888889,2.83333333,3.66666667,2,10.33333333,0,12,2,20,20,0.33333333,0,0,40,0,0,0,0,0,0,0,0,0,0,0,11.66666667,2,0,12,0,12,0,0,2,20,0,0,20,52.66666667,6.33333333,51.33333333,1.66666667,8.66666667,0,9.66666667,20,0,0,0,0,0,0,0,0,0,0,0,0,25,3.33333333,21.66666667,0,0,0,0,0,0,5.33333333,0,0,59,17.5862069,18.85714286,22.4,14.25,NA,NA,NA,NA,NA,22.4,59,59,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING","2020-04-06 14:10:51","ILMOCAIMDBO","2022-01-13 12:28:34","2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{503157F2-346F-42BA-838B-2154E3807BD6}","c(-107.341"," 32.0112)",1,19602,3.535710342,15.04934517,7.158437949,8.099046356,3.769381275,5.29e-06,0.000381506,4.68e-05,0.000110202,0.000186692,3e-09,2.22e-07,2.68e-08,6.6e-08,1.2e-07,6.8e-08,4.92e-06,6.04e-07,1.43e-06,2.43e-06,1.79e-06,0.00012901,1.58e-05,3.73e-05,6.32e-05,64,9.49333333333333,74.56,29.6666666666667,40,281.958333333333,36.9333333333333,7.63425090252708,394,10.6678700361011,84.0533333333333
"R042XB012NM","3.2","16112311152389002016-09-01","1611231115238900","Sandy-465","NM","NM","Luna","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16112311152389002016-09-01",NA,32.0299,-107.3818,"2016-11-16 17:00:00","2016-11-16 17:00:00",62.66666667,16,0.52,0,5.78666667,81.46666667,87.77333333,1.83333333,3.25,1.42857143,0,2,0,0.66666667,0,2.66666667,10,3.66666667,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.66666667,0,0.66666667,0,0.66666667,0,10,0,0,10,32,3.66666667,31,0,1.66666667,0,0.66666667,10,3.66666667,0,0,0,0,0,0,0,0,0,0,0,21.33333333,2.33333333,19,0,0,0,0,0,0,0,0,0,60.88888889,8.91666667,8.91666667,10,NA,NA,NA,NA,NA,NA,10,85,85,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,20,0,NA,NA,NA,"ARPU9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING","2020-04-06 14:10:51","ILMOCAIMDBO","2022-01-13 12:28:34","2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{F1A746A9-26A1-4285-9510-AF68620E4BA8}","c(-107.3818"," 32.0299000000001)",1,19603,36.4499382,142.8402995,73.79841823,80.80230332,34.38544659,0.000228642,0.008027033,0.001373977,0.002566072,0.003654035,3.42e-05,0.001202306,0.000205788,0.000384343,0.000547322,6.62e-05,0.002325966,0.000398089,0.000743519,0.001058883,0.000160224,0.005625467,0.000962845,0.001798284,0.002560893,66,5.78666666666667,81.4666666666667,62.6666666666667,16,506.384615384615,32,15.8245192307692,545.333333333333,17.0416666666667,87.2533333333334
"R042XB015NM","3.2","16120116430894482016-09-01","1612011643089448","Mal-406","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16120116430894482016-09-01",NA,32.0237,-107.3331,"2016-11-30 17:00:00","2016-11-30 17:00:00",52,25.33333333,1.06666667,8.53333333,9.6,73.62666667,92.82666667,1.44444444,1,1.66666667,3,7.33333333,0,8.33333333,3,14.66666667,1,1,6,0,25.33333333,0,0,0,0,0,0,0,0,0,0,0,10.33333333,3,0,8.33333333,0,8.33333333,0,0,3,1,0,0,1,33.33333333,1,32.66666667,3,7,0,7.33333333,1,1,6,0,0,0,0,0,0,0,0,0,0,22.33333333,0.66666667,21.66666667,0,0,0,0,0,0,0.33333333,0,0,96.57142857,17.4,21.4375,24.66666667,10.22222222,NA,NA,NA,NA,NA,24.66666667,144.5,144.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,24,0,NA,NA,"MUPO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING","2020-04-06 14:10:51","ILMOCAIMDBO","2022-01-13 12:28:34","2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{06E0F901-9636-4D90-8F24-ADD162A77EC4}","c(-107.3331"," 32.0237000000001)",0.666666666666667,19607,5.465722914,24.31161014,11.4057252,12.67652446,5.993694613,7.54e-06,0.000617245,6.77e-05,0.000166524,0.000283691,4.26e-09,3.75e-07,3.85e-08,9.94e-08,1.81e-07,9.69e-08,8e-06,8.71e-07,2.15e-06,3.7e-06,2.55e-06,0.000208765,2.29e-05,5.63e-05,9.6e-05,70,9.6,73.6266666666667,52,25.3333333333333,240.862068965517,37,6.50978564771668,367.176470588235,9.92368839427663,83.2266666666667
"R042XB012NM","3.2","16111616433990922016-09-01","1611161643399092","Shallow-576","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16111616433990922016-09-01",NA,31.799207,-107.276923,"2016-11-15 17:00:00","2016-11-15 17:00:00",52.33333333,23.66666667,2.6,10.85333333,16.74666667,51.05333333,81.25333333,1.16666667,1.75,1,2,14.33333333,0,0,2,14.33333333,5.33333333,2.33333333,1,0,23.66666667,0,0,0,0,0,0,0,0,0,0,0,15.66666667,2,0,0,0,0,0,0,2,5.33333333,0,0,5.33333333,31,1,30.66666667,2,13,0,0,5.33333333,2.33333333,1,0,0,0,0,0,0,0,0,0,0,21.66666667,1,20.66666667,0,0,0,0,0,0,2.33333333,0,0,65.42857143,12.14285714,12.94444444,NA,7.33333333,NA,NA,NA,NA,NA,NA,83.8,83.8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING","2020-04-06 14:10:51","ILMOCAIMDBO","2022-01-13 12:28:34","2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{E69FE8DE-12E8-438C-BE80-A47E0E27D597}","c(-107.276923"," 31.799207)",1,19600,15.72898807,51.45097968,28.89165999,30.12688172,10.62102277,4.27e-05,0.002814905,0.000316288,0.000675534,0.000993433,6.39e-06,0.000421635,4.74e-05,0.00010118,0.000148797,1.24e-05,0.000815728,9.16e-05,0.000195732,0.000287855,2.99e-05,0.001972813,0.000221647,0.000473404,0.000696201,63,16.7466666666667,51.0533333333333,52.3333333333333,23.6666666666667,156.769230769231,26.5833333333333,5.89727513865445,235.681818181818,8.86577372470789,67.8
"R042XB012NM","3.2","16100510513021652016-09-01","1610051051302165","Sandy-462","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16100510513021652016-09-01",NA,31.862162,-106.945461,"2016-10-04 18:00:00","2016-10-04 18:00:00",53.33333333,34,0,1.17333333,0,62.46666667,63.64,1,1,1,0,0,0,0,0,0,31,5.66666667,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,31,34,3.33333333,31.33333333,0,0,0,0,30.66666667,3.33333333,0,0,0,0,0,0,0,0,0,0,0,8,1.33333333,6.66666667,0,0,0,0,0,0,4.66666667,0,0,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.25,95.25,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,9,0,NA,NA,"MUPO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING","2020-04-06 14:10:51","ILMOCAIMDBO","2022-01-13 12:28:34","2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{634CF647-3A32-44A1-A888-08F38F789B42}","c(-106.945461"," 31.8621620000001)",0.666666667,19525,22.18597155,74.91564107,41.15222942,43.7438005,16.55404251,0.000170789,0.007894226,0.001257036,0.002367635,0.003320424,2.63e-05,0.001217055,0.000193802,0.000365012,0.000511866,5.11e-05,0.002360446,0.000375864,0.000707947,0.000992855,0.000119653,0.00553073,0.000880672,0.001658797,0.002326436,34,0,62.4666666666667,53.3333333333333,34,596.625,82,7.27591463414634,669.285714285714,8.16202090592335,62.4666666666667
"R042XB012NM","4.1","16100515373142542016-09-01","1610051537314254","Sandy-469","NM","NM","Dona Ana","New Mexico Las Cruces FO 2016","https://gis.blm.doi.net/attachments/AIM/Terradat/NM/16100515373142542016-09-01",NA,31.827062,-106.850356,"2016-10-04 18:00:00","2016-10-04 18:00:00",45,31,4.62666667,6.57333333,7.24,56.85333333,75.29333333,2.38888889,3.71428571,1.54545455,1.66666667,0,0,0,1.66666667,0,18,10.33333333,1.33333333,0,31,0,0,0,0,0,0,0,0,0,0,0,1.66666667,1.66666667,0,0,0,0,0,0,1.66666667,18,0,0,18,38.33333333,5.33333333,36.66666667,1.66666667,0,0,0,18,10,1.33333333,0,0,0,0,0,0,0,0,0,0,19,3.66666667,15.33333333,0,0,0,0,0,0,5,0,0,78.13333333,9.85714286,9.85714286,11.33333333,NA,NA,NA,NA,NA,NA,11.33333333,115.14285714,115.14285714,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Planning","Land Use Plan Effectiveness","Random","Revisit Base Plot","DBROWNING","2020-04-06 14:10:51","ILMOCAIMDBO","2022-01-13 12:28:34","2016-09-01","NM_LasCrucesDO_LUP_2016_5-3b_01.mdb","{2E41F0D0-5DE0-4E32-996C-3826B98EE621}","c(-106.850356"," 31.8270620000001)",1,19532,1.593588204,9.223299851,4.060268802,4.40665365,2.225873356,7.74e-07,0.000178905,1.02e-05,3.36e-05,5.94e-05,1.16e-07,2.68e-05,1.53e-06,5.03e-06,8.9e-06,2.24e-07,5.18e-05,2.96e-06,9.73e-06,1.72e-05,5.42e-07,0.000125374,7.16e-06,2.35e-05,4.16e-05,35,7.24,56.8533333333333,45,31,166.764705882353,61.1,2.72937325503033,300.4375,4.91714402618658,64.0933333333333
