"Cluster","Indicator","MeanCover","MinCover","MaxCover","MedCover","q1","q3"
"V1","AH_NonNoxPerenForbCover",1.32,0,10.89,0.33,0,1.98
"V1","AH_NonNoxPerenGrassCover",4.86,0,23,3.96,0.33,7
"V1","AH_NonNoxShrubCover",12.2,0,26,13,5.94,18
"V1","AH_NonNoxSubShrubCover",1.27,0,10.33,0,0,1.33
"V1","AH_NonNoxSucculentCover",0.33,0,4,0,0,0.33
"V1","AH_NonNoxTreeCover",0.09,0,6.67,0,0,0
"V1","AH_NoxCover",0.32,0,23,0,0,0
"V1","BareSoilCover",16.37,1.98,34,16.33,8,22.86
"V1","FH_NonNoxPerenGrassCover",3.92,0,23,2.67,0.33,5
"V1","GapCover_101_200",16.47,1.67,38.56,16.09,11.13,20.48
"V1","GapCover_200_plus",50.93,13.9,86.04,51.4,41.99,62.19
"V1","horizontal_flux_total_MD",8.48,0.25,65.75,4.19,1.77,9.11
"V1","LargeGaps",67.4,43.33,89.59,67.84,59.85,73.4
"V1","MeanGap",205.69,83.02,629.6,188.81,150.26,240.48
"V1","MeanMaxHeight",36.82,8.47,113.25,34,25.27,46.78
"V1","ScaledGap",6.99,2.49,27.43,5.14,3.97,7.63
"V1","TotalFoliarCover",21.32,7,57.33,21,17.67,24.67
"V2","AH_NonNoxPerenForbCover",3.44,0,25.74,1.98,0.33,3.96
"V2","AH_NonNoxPerenGrassCover",45.23,0,90,46.53,33,58.67
"V2","AH_NonNoxShrubCover",11.33,0,55,4.67,0.33,18
"V2","AH_NonNoxSubShrubCover",2.44,0,18.33,1,0,2.98
"V2","AH_NonNoxSucculentCover",2.8,0,25,1,0,3.74
"V2","AH_NonNoxTreeCover",2.46,0,42.67,0,0,0
"V2","AH_NoxCover",1.27,0,47,0,0,0
"V2","BareSoilCover",6.83,0,24.33,4.5,1.33,10.17
"V2","FH_NonNoxPerenGrassCover",39.56,0,84.16,39.6,23.75,55.45
"V2","GapCover_101_200",5.95,0,16.32,5.34,1.71,9.9
"V2","GapCover_200_plus",2.39,0,15.99,0,0,3.68
"V2","horizontal_flux_total_MD",0.18,0,3.49,0.01,0,0.07
"V2","LargeGaps",8.34,0,25.07,6.89,2.62,13.5
"V2","MeanGap",59.98,30.47,112.69,59.5,48.95,69.41
"V2","MeanMaxHeight",56.43,13.92,304.97,52.66,37.37,65.42
"V2","ScaledGap",1.36,0.24,5.01,1.15,0.86,1.46
"V2","TotalFoliarCover",66.26,42.57,94.67,65.35,57.25,73.33
"V3","AH_NonNoxPerenForbCover",1.71,0,12,0.33,0,2.25
"V3","AH_NonNoxPerenGrassCover",11.76,0,48,10.4,1.42,20.76
"V3","AH_NonNoxShrubCover",12.3,0,38.61,10,2.07,20
"V3","AH_NonNoxSubShrubCover",3.09,0,15.84,1.33,0,5.67
"V3","AH_NonNoxSucculentCover",0.57,0,7.92,0,0,0.67
"V3","AH_NonNoxTreeCover",0.17,0,8,0,0,0
"V3","AH_NoxCover",0.38,0,22,0,0,0
"V3","BareSoilCover",47.4,31.67,64.36,45.67,41.33,53.33
"V3","FH_NonNoxPerenGrassCover",9.89,0,45.33,7.92,0.67,18.78
"V3","GapCover_101_200",17.99,0,40.31,17.17,12.29,23.03
"V3","GapCover_200_plus",30.8,3.68,62.47,29.23,22.01,38.04
"V3","horizontal_flux_total_MD",13.31,0.08,159.78,5.6,2.71,14.97
"V3","LargeGaps",48.79,32.09,67.76,48.66,43.55,55.02
"V3","MeanGap",144.86,74.54,748.94,125.79,102.65,160.69
"V3","MeanMaxHeight",43.58,13.83,182.25,35.53,25.23,54.33
"V3","ScaledGap",3.8,0.93,12.24,3.37,2.67,4.44
"V3","TotalFoliarCover",30.35,16.28,49.67,30.17,26.68,33
"V4","AH_NonNoxPerenForbCover",0.91,0,9.33,0,0,1
"V4","AH_NonNoxPerenGrassCover",2.77,0,21.78,0.33,0,4.33
"V4","AH_NonNoxShrubCover",8.81,0,23.76,7.33,1.99,14.85
"V4","AH_NonNoxSubShrubCover",2.01,0,10.67,0.99,0,3.17
"V4","AH_NonNoxSucculentCover",0.59,0,6,0,0,0.99
"V4","AH_NonNoxTreeCover",0.04,0,2.97,0,0,0
"V4","AH_NoxCover",0.07,0,2,0,0,0
"V4","BareSoilCover",61.98,36.67,91.09,61.33,54.46,69.31
"V4","FH_NonNoxPerenGrassCover",2.35,0,17.82,0,0,2.99
"V4","GapCover_101_200",10,1.45,32.03,8.52,5.65,13.97
"V4","GapCover_200_plus",67.5,28.83,92.31,67.77,58.25,76.17
"V4","horizontal_flux_total_MD",65.91,2.15,454.52,35.17,19.65,78.5
"V4","LargeGaps",77.51,50.9,94.8,77.04,71.43,83.9
"V4","MeanGap",334.81,106.93,1045.46,296.47,223.43,394.73
"V4","MeanMaxHeight",41.42,4.9,130.39,37,23.23,54.42
"V4","ScaledGap",10.82,2.6,68.6,8.46,5.92,12.54
"V4","TotalFoliarCover",15.6,2.97,28.33,15,10.89,20.79
"V5","AH_NonNoxPerenForbCover",1.43,0,19.8,0.33,0,1.98
"V5","AH_NonNoxPerenGrassCover",26.79,0,56,31.68,7.5,41.58
"V5","AH_NonNoxShrubCover",5.89,0,33.33,2.33,0,9.5
"V5","AH_NonNoxSubShrubCover",3.44,0,22,1,0,5.17
"V5","AH_NonNoxSucculentCover",1.23,0,11.88,0,0,0.99
"V5","AH_NonNoxTreeCover",0.24,0,7.92,0,0,0
"V5","AH_NoxCover",0.34,0,16.92,0,0,0
"V5","BareSoilCover",30.75,13.86,50.5,29.67,24.75,37.17
"V5","FH_NonNoxPerenGrassCover",24.75,0,54,27.72,6.67,38.61
"V5","GapCover_101_200",10.67,0,26.67,9.72,6.06,15.15
"V5","GapCover_200_plus",7.32,0,30.48,6.31,0,11.23
"V5","horizontal_flux_total_MD",4.01,0,59.63,1.48,0.59,3.76
"V5","LargeGaps",17.99,0,36.6,19.21,9.17,25.99
"V5","MeanGap",81.84,0,285.52,76.14,61.56,89.2
"V5","MeanMaxHeight",33.29,10.53,73,31.96,24.28,40.04
"V5","ScaledGap",2.83,0,18.57,2.28,1.91,3.01
"V5","TotalFoliarCover",42.37,20.79,59.67,43,34.83,49.42
"V6","AH_NonNoxPerenForbCover",1.83,0,10.67,1,0,2.35
"V6","AH_NonNoxPerenGrassCover",15.42,0,40.59,15.35,6.86,22.91
"V6","AH_NonNoxShrubCover",17.84,0,42.57,17.91,7.86,25.08
"V6","AH_NonNoxSubShrubCover",2.63,0,15.33,1.5,0,3.96
"V6","AH_NonNoxSucculentCover",2.37,0,14.67,0.83,0,3.97
"V6","AH_NonNoxTreeCover",0.74,0,17.82,0,0,0
"V6","AH_NoxCover",0.44,0,17.33,0,0,0
"V6","BareSoilCover",7.05,0,22,5.33,3.25,9.93
"V6","FH_NonNoxPerenGrassCover",12.51,0,35.67,9.96,4.24,19.17
"V6","GapCover_101_200",19.17,7.41,30.92,19.45,16.11,22.4
"V6","GapCover_200_plus",19.55,0,53.64,18.84,10.72,26.6
"V6","horizontal_flux_total_MD",0.37,0,2.16,0.23,0.06,0.54
"V6","LargeGaps",38.72,18.1,61.05,37.41,30.68,47.14
"V6","MeanGap",105.65,59.65,233.14,99.27,81.75,123.01
"V6","MeanMaxHeight",47.99,18.39,109.22,47.4,36.71,55.79
"V6","ScaledGap",2.32,1.17,4.75,2.2,1.67,2.8
"V6","TotalFoliarCover",40.94,25.61,60,40.5,35.67,46.75
